pred,target,idx
1,1,1419079
0,0,142836
1,1,2405094
1,0,1319620
1,1,427090
1,1,2173289
0,0,14510
1,1,121939
0,0,3113550
1,1,3264487
1,1,1771984
0,0,1703385
0,1,1401946
1,1,1355539
1,1,3385862
0,0,1087225
1,1,507751
1,1,2065497
1,0,1669438
0,0,2003690
0,0,1051279
1,1,2168769
1,1,1274113
0,1,3117712
1,1,2725718
1,1,1787481
1,1,2505004
1,1,327365
1,1,2679022
1,1,3111198
1,0,1787828
0,1,2254228
1,1,1462783
1,1,129865
1,0,2484347
0,1,1110096
1,0,2641995
0,0,2854737
1,1,2795276
1,1,1451709
0,0,2763716
0,0,1496938
1,0,1392369
1,0,867716
1,1,3159653
1,1,3261182
1,1,3153726
0,0,1200506
1,1,2083179
1,1,2605131
1,1,516921
1,0,1390382
1,1,780201
0,0,2872719
1,1,1138564
1,1,2426916
1,1,2716543
0,0,1018728
1,0,555526
0,0,1287681
1,1,2521281
1,1,3052031
0,1,813244
1,1,2664077
0,0,2028326
0,1,2594744
0,0,1140029
0,1,2529318
1,1,3014177
1,1,1822303
1,1,646343
1,0,2630841
0,1,1151084
1,1,2759792
1,1,547205
1,0,2777839
1,1,3257537
0,1,1088238
1,1,276517
1,1,3017926
0,1,1933212
1,1,2359452
1,0,2902077
1,1,1260943
0,0,968701
1,1,131134
1,1,701817
1,1,2749311
0,0,408890
0,1,725698
1,1,1678050
1,1,209615
1,1,1952593
1,1,1953409
1,0,2226071
1,1,3249177
1,0,1947223
1,1,257707
0,1,1708624
0,0,1454437
1,1,2195721
1,1,261718
0,0,130265
1,1,1552072
0,0,1367350
0,0,306380
0,0,8570
1,1,2559956
1,0,629297
1,0,2858180
1,1,53672
0,0,969586
1,1,2357216
1,1,960861
0,1,612172
0,1,3131671
0,0,1263127
0,0,1692604
1,1,666238
1,1,2254011
1,1,81231
1,1,2044580
1,1,1048572
0,0,490221
1,1,2795949
1,1,1605335
1,1,1010013
0,0,3026089
1,1,411079
0,0,2851764
0,0,559882
1,1,1090263
0,0,3323324
0,0,2472857
0,0,1799420
1,0,1675037
0,1,3319119
0,0,222535
0,0,1958080
1,1,2377832
1,1,548865
0,0,911563
1,0,3285323
1,1,3150044
1,1,2252343
1,1,2359373
1,1,423227
1,1,3436639
0,0,313967
1,1,271886
1,1,899532
1,0,759485
1,1,63398
1,1,368271
1,1,2011656
1,1,61262
1,1,2627558
1,1,2228840
1,1,3364032
1,1,885713
0,1,1686095
1,1,1117174
1,1,3125018
1,0,935356
0,0,508365
0,0,408572
0,1,1353340
1,0,2287353
1,1,3176510
1,1,349046
0,1,3243744
1,0,1253180
1,0,2873368
1,0,3014165
0,1,229245
0,0,42183
1,1,279643
0,0,1678501
0,0,173848
0,0,3085781
1,0,1917198
0,0,1239932
0,0,395559
1,0,1346613
0,0,127941
0,0,1351687
1,1,773604
0,1,13714
1,1,1315492
0,1,913945
1,1,684556
1,1,1277464
0,1,806505
0,0,53868
1,1,1113724
1,1,2384647
1,1,2920398
1,1,1353348
1,1,925534
0,0,1615615
1,1,1462789
1,1,2939979
1,1,2320049
1,1,716894
0,1,2299642
1,1,258305
1,0,125001
1,1,2465280
1,1,1055255
0,0,45966
1,1,1433591
1,1,3443605
1,1,2362684
1,0,545926
0,0,2452146
1,1,459103
0,1,2453843
1,0,2768372
1,0,518131
1,1,2051961
0,0,1959142
1,1,2762932
1,0,2637189
1,1,2761996
1,1,243948
1,1,2946090
1,1,3283140
1,1,881734
1,0,392771
1,0,684307
1,0,659710
1,0,758152
0,0,2984155
0,1,1670090
1,1,1694560
0,0,746211
1,1,952419
0,0,1320606
1,1,1443641
1,1,315656
1,1,2586306
1,0,2080922
0,1,3207968
0,0,921754
