pred,target,idx
1,0,244
0,0,139
0,0,169
1,0,163
1,0,26
1,1,193
0,0,45
1,0,208
1,1,34
1,1,115
1,0,140
0,0,236
1,0,213
0,0,199
1,0,225
1,0,207
1,1,63
1,1,176
0,0,55
1,1,141
0,1,21
1,0,77
1,0,91
1,1,216
1,0,233
1,0,38
0,0,245
1,1,220
1,0,222
1,1,54
1,0,205
1,1,112
1,0,166
1,1,22
1,1,185
0,0,230
0,0,84
0,1,137
1,0,30
1,1,251
1,0,138
0,1,51
1,1,255
0,0,264
1,0,267
1,0,150
1,1,170
0,0,198
1,1,59
1,1,202
1,0,183
0,0,168
1,0,223
1,1,13
1,0,36
1,0,192
1,1,146
1,1,9
1,0,243
1,1,275
1,0,122
1,1,257
1,1,212
0,0,24
1,0,118
0,1,86
0,0,29
1,1,132
1,0,124
0,1,165
1,0,215
1,1,100
0,1,68
1,1,155
0,0,58
1,1,17
1,0,206
0,0,107
0,0,80
0,0,113
0,0,159
0,0,64
0,1,174
1,1,4
1,1,5
1,1,44
1,0,75
1,0,246
1,1,177
1,1,129
0,0,158
0,0,89
0,1,110
1,1,128
1,1,171
1,0,3
1,1,27
1,0,2
1,1,6
0,1,108
1,1,188
1,1,173
0,0,178
1,1,260
1,1,74
0,1,195
1,1,134
1,1,272
1,0,28
1,0,16
1,1,92
1,1,71
0,0,133
1,0,196
0,0,119
0,0,57
1,0,270
0,0,15
1,0,95
1,1,73
1,0,238
0,0,32
0,1,1
1,0,48
1,1,160
1,1,69
1,0,25
1,0,232
1,0,265
1,1,111
0,0,239
1,1,143
1,1,259
0,0,35
1,1,229
1,1,224
0,0,269
1,1,104
1,1,20
1,1,266
1,1,181
0,1,247
0,1,148
1,1,149
0,0,194
1,1,157
1,0,96
1,1,99
1,1,105
0,1,31
1,1,43
1,0,136
0,0,0
0,0,49
1,1,135
1,0,78
1,1,109
1,1,204
1,1,235
0,0,127
1,1,201
0,0,271
1,1,175
1,1,8
0,0,151
0,1,42
1,1,123
1,0,50
1,1,274
0,0,39
1,0,33
1,0,276
1,1,164
0,1,268
1,1,85
1,0,41
1,0,156
1,1,197
0,0,249
1,1,14
1,1,90
0,1,67
1,0,250
1,1,211
0,0,120
1,0,72
0,0,190
1,1,7
1,1,23
1,0,147
1,1,93
1,0,62
1,1,241
1,1,152
1,1,184
1,1,81
0,0,65
1,1,226
1,1,154
1,0,47
0,0,261
1,1,231
1,1,153
1,1,10
1,1,116
0,1,18
1,0,82
0,0,19
1,0,258
1,1,56
1,1,256
0,0,144
0,0,83
1,1,102
1,1,40
1,1,145
1,1,253
0,1,234
0,0,121
1,0,94
1,0,228
1,1,187
1,1,76
1,0,12
0,0,182
1,1,101
0,1,189
0,0,142
1,1,227
1,0,11
1,1,273
1,1,221
1,1,180
1,1,37
0,1,219
1,0,172
0,1,97
1,0,242
1,1,214
1,0,218
1,0,209
1,1,262
1,1,131
1,1,53
0,1,70
1,1,103
1,0,162
1,1,237
0,1,98
0,1,191
1,1,263
1,1,79
0,0,252
0,0,248
1,1,46
0,0,114
1,1,106
0,1,60
1,0,179
1,1,240
0,0,203
0,1,200
0,1,66
0,0,61
1,0,126
0,0,217
1,0,167
0,1,88
0,1,210
1,0,254
0,0,117
1,0,87
1,1,186
0,0,130
0,0,52
0,0,125
0,1,161
